距離(自),距離(至),緯度(自),経度(自),緯度(至),経度(至)
165466.222,165476.222,39.7798721396021,255.031140953286,39.7798775531396,255.031257374296
165476.222,165486.222,39.7798775531396,255.031257374296,39.7798828788026,255.031373355203
165486.222,165496.222,39.7798828788026,255.031373355203,39.7798879109432,255.03148943852
165496.222,165506.222,39.7798879109432,255.03148943852,39.7798927767324,255.031606712367
165506.222,165516.222,39.7798927767324,255.031606712367,39.7798973915468,255.031723049155
165516.222,165526.222,39.7798973915468,255.031723049155,39.7799023612472,255.031839382793
165526.222,165536.222,39.7799023612472,255.031839382793,39.7799077657952,255.031955576227
165536.222,165546.222,39.7799077657952,255.031955576227,39.7799134979868,255.032072824423
165546.222,165556.222,39.7799134979868,255.032072824423,39.7799194496478,255.032189003164
165556.222,165566.222,39.7799194496478,255.032189003164,39.779925670429,255.032305584499
165566.222,165576.222,39.779925670429,255.032305584499,39.7799317279884,255.032422248918
165576.222,165586.222,39.7799317279884,255.032422248918,39.7799377751964,255.032538733286
165586.222,165596.222,39.7799377751964,255.032538733286,39.7799433432221,255.032654774764
165596.222,165606.222,39.7799433432221,255.032654774764,39.779948675504,255.032770749301
165606.222,165616.222,39.779948675504,255.032770749301,39.7799539143227,255.032887401807
165616.222,165626.222,39.7799539143227,255.032887401807,39.7799591798915,255.033004136603
165626.222,165636.222,39.7799591798915,255.033004136603,39.7799644141006,255.033120126505
165636.222,165646.222,39.7799644141006,255.033120126505,39.7799700112363,255.03323689811
165646.222,165656.222,39.7799700112363,255.03323689811,39.7799756677538,255.033353632524
165656.222,165666.222,39.7799756677538,255.033353632524,39.7799817019929,255.033470105836
165666.222,165676.222,39.7799817019929,255.033470105836,39.7799882364567,255.033584393981
165676.222,165686.222,39.7799882364567,255.033584393981,39.7799951050019,255.033702884079
165686.222,165696.222,39.7799951050019,255.033702884079,39.7800025001303,255.033818705397
165696.222,165706.222,39.7800025001303,255.033818705397,39.780010353638,255.033934664787
165706.222,165716.222,39.780010353638,255.033934664787,39.7800189039971,255.034050810458
165716.222,165726.222,39.7800189039971,255.034050810458,39.7800276951354,255.034166993454
165726.222,165736.222,39.7800276951354,255.034166993454,39.7800363808923,255.034282547631
165736.222,165746.222,39.7800363808923,255.034282547631,39.7800451177711,255.034399016021
165746.222,165756.222,39.7800451177711,255.034399016021,39.7800536361653,255.034514923518
165756.222,165766.222,39.7800536361653,255.034514923518,39.780061957041,255.034630990892
165766.222,165776.222,39.780061957041,255.034630990892,39.7800704023552,255.034747035994
165776.222,165786.222,39.7800704023552,255.034747035994,39.7800788777176,255.034863578826
165786.222,165796.222,39.7800788777176,255.034863578826,39.7800875091706,255.034979416239
165796.222,165806.222,39.7800875091706,255.034979416239,39.7800962978847,255.035094547686
165806.222,165816.222,39.7800962978847,255.035094547686,39.7801052795967,255.03521095488
165816.222,165826.222,39.7801052795967,255.03521095488,39.7801144921074,255.035327306248
165826.222,165836.222,39.7801144921074,255.035327306248,39.7801239974804,255.035443207505
165836.222,165846.222,39.7801239974804,255.035443207505,39.7801335601781,255.035558904341
